"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5125",-2.09717980526706,0.0964094041360101,-21.7528551707306,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000786696501236354,5125
"scaled_rainfall_deviation:factor(COD_MUNI)5129",-2.03123502672515,0.0810016934405404,-25.0764513734048,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012614269943573,5129
"scaled_rainfall_deviation:factor(COD_MUNI)5134",-2.0986873187367,0.0804573710291705,-26.0844630130383,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000813616372755713,5134
"scaled_rainfall_deviation:factor(COD_MUNI)5138",-2.10079854936727,0.0952301173387977,-22.0602327086641,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000933660058342209,5138
"scaled_rainfall_deviation:factor(COD_MUNI)5142",-2.08770075249493,0.0760783754267731,-27.4414475964248,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142848738747911,5142
"scaled_rainfall_deviation:factor(COD_MUNI)5145",-2.07504729147904,0.0856126809911153,-24.2376160570697,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120086129718712,5145
"scaled_rainfall_deviation:factor(COD_MUNI)5147",-2.08456843010576,0.074590773146293,-27.9467331169413,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121798897976439,5147
"scaled_rainfall_deviation:factor(COD_MUNI)5148",-2.11327455478774,0.0749415936735187,-28.1989540280418,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103511463989771,5148
"scaled_rainfall_deviation:factor(COD_MUNI)5150",-2.0785013446332,0.0826691508264085,-25.1424058896856,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000241018255355496,5150
"scaled_rainfall_deviation:factor(COD_MUNI)5154",-2.461280822186,0.0808827869202581,-30.4302177991538,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000455984989286119,5154
"scaled_rainfall_deviation:factor(COD_MUNI)5172",-2.08139278038362,0.0732765912435159,-28.4046070520209,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309754127171319,5172
"scaled_rainfall_deviation:factor(COD_MUNI)5190",-2.09212511276567,0.0773734062198656,-27.0393306302252,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000806091216060354,5190
"scaled_rainfall_deviation:factor(COD_MUNI)5197",-2.08232741452042,0.071069775854183,-29.2997605450849,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019629650347542,5197
"scaled_rainfall_deviation:factor(COD_MUNI)5206",-2.06175161376964,0.0782145615587972,-26.3602016386645,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005930357575364,5206
"scaled_rainfall_deviation:factor(COD_MUNI)5209",-2.14057572233673,0.083470888735627,-25.6445780650121,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000704083392806856,5209
"scaled_rainfall_deviation:factor(COD_MUNI)5212",-2.10264242084056,0.0938569249245186,-22.4026348884916,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000460503455135559,5212
"scaled_rainfall_deviation:factor(COD_MUNI)5234",-2.03274360319448,0.0806494692345497,-25.2046742835062,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000503143109752245,5234
"scaled_rainfall_deviation:factor(COD_MUNI)5237",-2.06654756615054,0.0805617634796043,-25.651717103657,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000586356653779098,5237
"scaled_rainfall_deviation:factor(COD_MUNI)5240",-2.09854946516286,0.0901867916454993,-23.2689224982268,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117705510511679,5240
"scaled_rainfall_deviation:factor(COD_MUNI)5250",-2.32897162094542,0.0765632995401334,-30.4189035077388,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000642890723853318,5250
"scaled_rainfall_deviation:factor(COD_MUNI)5264",-2.07303486786605,0.0993283800484423,-20.8705192499368,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000116816203300186,5264
"scaled_rainfall_deviation:factor(COD_MUNI)5266",-2.01534722711046,0.0833631052069054,-24.1755297155548,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000539503410926889,5266
"scaled_rainfall_deviation:factor(COD_MUNI)5282",-2.12852832785941,0.0792089547478568,-26.8723193562531,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000723388232084629,5282
"scaled_rainfall_deviation:factor(COD_MUNI)5284",-2.0955099516944,0.079251566664419,-26.4412432446614,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000699469543917708,5284
"scaled_rainfall_deviation:factor(COD_MUNI)5306",-2.08442614077529,0.0990287471155478,-21.048697489257,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000278212134178191,5306
"scaled_rainfall_deviation:factor(COD_MUNI)5308",-2.11691936473242,0.0918129230714613,-23.0568779853,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159921124757384,5308
"scaled_rainfall_deviation:factor(COD_MUNI)5310",-2.10361728164689,0.0778154799601169,-27.0334036714169,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000946015007361894,5310
"scaled_rainfall_deviation:factor(COD_MUNI)5313",-2.09353066485934,0.0717685344276868,-29.1705923989399,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000851221935410533,5313
"scaled_rainfall_deviation:factor(COD_MUNI)5315",-2.0722770875607,0.0840134462848168,-24.6660169199036,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000340333905408731,5315
"scaled_rainfall_deviation:factor(COD_MUNI)5318",-2.1412625747604,0.0919362678368897,-23.2907276436255,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000708506691414631,5318
"scaled_rainfall_deviation:factor(COD_MUNI)5321",-2.07526964325913,0.07525130762312,-27.5778549078864,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000336703587492547,5321
